latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
28.63696,7.54476,314.22,1.65,1.26,2022-06-29,0105,A,88,6.1NRT,299.04,19.06,N
27.9299,9.25519,309.97,1.27,1.12,2022-06-29,0105,A,77,6.1NRT,296.06,10.81,N
26.76227,12.41668,309.23,1,1,2022-06-29,0105,A,77,6.1NRT,296.11,8.39,N
13.56325,13.88885,312.86,1.57,1.23,2022-06-29,0109,A,82,6.1NRT,289.02,25.16,N
41.45155,21.93996,302.52,1.45,1.19,2022-06-29,0102,A,50,6.1NRT,288.71,9.65,N
39.18564,16.10174,307.28,1,1,2022-06-29,0102,A,71,6.1NRT,293.61,6.87,N
38.12836,15.69165,313.57,1,1,2022-06-29,0102,A,87,6.1NRT,297.43,9.51,N
38.11949,15.68954,308.6,1,1,2022-06-29,0102,A,74,6.1NRT,297.9,6.08,N
37.36342,13.73585,302.66,1.04,1.02,2022-06-29,0102,A,51,6.1NRT,291.03,5.08,N
32.60133,13.34498,313.93,1.01,1,2022-06-29,0105,A,88,6.1NRT,299.22,10.26,N
31.69881,5.80908,306.2,2.37,1.49,2022-06-29,0105,A,61,6.1NRT,290.79,25.24,N
30.82708,8.03128,312.87,1.64,1.26,2022-06-29,0105,A,85,6.1NRT,299.91,19.86,N
60.52898,28.12602,305.83,1.05,1.02,2022-06-29,0056,A,66,6.1NRT,287.51,9.15,D
48.28251,14.33382,302.28,1.28,1.12,2022-06-29,0058,A,48,6.1NRT,289.08,8.16,N
64.88273,161.86191,310.56,1.89,1.34,2022-06-29,0041,A,56,6.1NRT,297.61,13.98,D
64.89263,160.29778,320.69,2.09,1.41,2022-06-29,0041,A,63,6.1NRT,297.62,37.25,D
64.90314,160.2274,326.5,2.09,1.41,2022-06-29,0041,A,47,6.1NRT,298.24,52.44,D
64.91364,160.21042,323.86,2.09,1.41,2022-06-29,0041,A,78,6.1NRT,296.43,47.98,D
64.90298,160.21935,323.02,2.09,1.41,2022-06-29,0041,A,32,6.1NRT,297.91,42.71,D
64.91348,160.20239,318.99,2.09,1.41,2022-06-29,0041,A,39,6.1NRT,296.07,32.91,D
-10.65812,-52.11696,309.67,1.57,1.24,2022-06-29,0134,T,78,6.1NRT,293.07,17.76,N
-10.65995,-52.13129,304.2,1.58,1.24,2022-06-29,0134,T,59,6.1NRT,292.58,10.61,N
