latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
30.82223,8.02924,313.66,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.03,1.24,N
30.66452,8.10326,332.87,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.63,3.32,N
30.83842,6.55808,324.58,0.39,0.36,2022-06-29,0124,N,nominal,2.0NRT,299.88,1.1,N
28.58305,17.32955,325.87,0.48,0.64,2022-06-29,0124,N,nominal,2.0NRT,291.12,2.74,N
30.83776,6.56214,311.71,0.39,0.36,2022-06-29,0124,N,nominal,2.0NRT,298.91,1.1,N
30.8351,6.55735,321.17,0.39,0.36,2022-06-29,0124,N,nominal,2.0NRT,299.09,1.22,N
30.83443,6.5614,314,0.39,0.36,2022-06-29,0124,N,nominal,2.0NRT,298.78,1.22,N
30.89763,5.58379,329.69,0.38,0.36,2022-06-29,0124,N,nominal,2.0NRT,299.4,2,N
30.87827,5.64159,332.65,0.38,0.36,2022-06-29,0124,N,nominal,2.0NRT,303.51,4.47,N
30.87764,5.64559,316.13,0.38,0.36,2022-06-29,0124,N,nominal,2.0NRT,299.93,1.88,N
30.87498,5.64089,331.46,0.38,0.36,2022-06-29,0124,N,nominal,2.0NRT,299.12,2.77,N
30.25373,8.08195,314.23,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,300.42,1.36,N
30.25294,8.08637,319.56,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,300.93,1.31,N
29.70042,6.71366,327.77,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,302.7,2.58,N
29.69776,6.70884,313,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,302.15,1.8,N
29.6958,6.69994,316.38,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,301.92,1.33,N
29.69441,6.70809,312.79,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,301.55,1.88,N
29.68911,6.69846,334.11,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,303.89,1.84,N
29.68576,6.69772,323.25,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,301.43,1.84,N
28.89126,9.966,314.03,0.54,0.42,2022-06-29,0124,N,nominal,2.0NRT,294.33,1.97,N
28.88958,9.95417,313.18,0.54,0.42,2022-06-29,0124,N,nominal,2.0NRT,294.69,0.69,N
28.91426,9.74674,331.19,0.52,0.42,2022-06-29,0124,N,nominal,2.0NRT,302.68,32.73,N
28.86497,9.9366,313.49,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,294.39,1.33,N
28.86329,9.92483,312.72,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,295.11,0.97,N
28.85292,9.91652,318.52,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,295.16,1.84,N
28.86434,9.93535,305.13,0.54,0.42,2022-06-29,0124,N,nominal,2.0NRT,294.14,0.84,N
28.85219,9.91521,325.43,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,295.22,2.77,N
28.73526,9.78822,344.97,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,299.42,9.71,N
29.25972,6.49258,312.59,0.4,0.37,2022-06-29,0124,N,nominal,2.0NRT,302.2,1.17,N
28.63895,9.78416,312.93,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,297.38,2.25,N
28.63514,9.7832,330.93,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,297.95,4.19,N
28.6341,9.78857,328.86,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,297.01,3.09,N
28.63134,9.78224,312.14,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,296.48,4.19,N
28.6303,9.78762,310.46,0.53,0.42,2022-06-29,0124,N,nominal,2.0NRT,296.47,3.09,N
28.73587,9.15353,315.23,0.49,0.4,2022-06-29,0124,N,nominal,2.0NRT,297.54,1.22,N
29.03065,7.52055,314.21,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,297.82,1.34,N
28.73219,9.15262,319.39,0.49,0.4,2022-06-29,0124,N,nominal,2.0NRT,297.41,1.58,N
28.71248,9.03393,314.86,0.49,0.4,2022-06-29,0124,N,nominal,2.0NRT,297.5,0.51,N
28.70882,9.03303,315.54,0.49,0.4,2022-06-29,0124,N,nominal,2.0NRT,297.25,0.92,N
28.71373,8.94718,313.16,0.48,0.4,2022-06-29,0124,N,nominal,2.0NRT,299.41,1.88,N
28.71519,8.9455,308.86,0.48,0.4,2022-06-29,0124,N,nominal,2.0NRT,298.51,1.21,N
28.70516,8.93792,328.56,0.48,0.4,2022-06-29,0124,N,nominal,2.0NRT,297.17,3.19,N
28.70152,8.93703,307.37,0.48,0.4,2022-06-29,0124,N,nominal,2.0NRT,296.67,1.32,N
28.52765,9.1199,319.86,0.49,0.41,2022-06-29,0124,N,nominal,2.0NRT,295.2,2.33,N
28.46478,9.05682,332.6,0.49,0.4,2022-06-29,0124,N,nominal,2.0NRT,296.55,4.36,N
28.44987,9.13655,337.33,0.5,0.41,2022-06-29,0124,N,nominal,2.0NRT,297.3,5.26,N
28.65308,7.68296,316.64,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,299.64,1.58,N
28.61984,7.70708,336.32,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,300.52,4.19,N
28.61921,7.70838,335.22,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.27,4.24,N
28.63863,7.53649,332.12,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,300.37,2.72,N
28.63518,7.53569,331.71,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,304.3,18.85,N
28.68445,7.19209,334.89,0.42,0.37,2022-06-29,0124,N,nominal,2.0NRT,309.39,22.06,N
28.68372,7.1963,340.39,0.42,0.37,2022-06-29,0124,N,nominal,2.0NRT,303.12,22.71,N
28.57838,7.6535,331.56,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,303.02,6.35,N
28.57492,7.65271,317.98,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,298.72,6.35,N
28.56006,7.514,325.83,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,300.35,2,N
28.55928,7.51832,324.47,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,299.95,2,N
28.60209,7.25698,331.41,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,304.16,5.32,N
28.56237,7.46078,330.72,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,302.1,2.08,N
28.56161,7.46507,316.93,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,299.32,2.08,N
28.55893,7.46,324.21,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,299.79,2.08,N
28.55816,7.46429,314.33,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,299.68,2.08,N
28.43287,7.51388,317.29,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,298.34,0.79,N
28.43161,7.51563,312.31,0.43,0.38,2022-06-29,0124,N,nominal,2.0NRT,297.99,0.59,N
27.92491,9.25094,334.91,0.51,0.41,2022-06-29,0124,N,nominal,2.0NRT,296.54,9.46,N
27.92525,9.10719,318.53,0.5,0.41,2022-06-29,0124,N,nominal,2.0NRT,298.12,2.57,N
27.92539,9.10586,315.39,0.5,0.41,2022-06-29,0124,N,nominal,2.0NRT,297.84,2.56,N
27.72577,9.87942,308.85,0.55,0.43,2022-06-29,0124,N,nominal,2.0NRT,297.38,2.02,N
27.76435,9.19302,330.12,0.51,0.41,2022-06-29,0124,N,nominal,2.0NRT,297.08,6.35,N
27.74871,9.15172,329.97,0.51,0.41,2022-06-29,0124,N,nominal,2.0NRT,296.9,3.53,N
27.73536,9.18062,318.64,0.51,0.41,2022-06-29,0124,N,nominal,2.0NRT,297.01,2.47,N
26.75819,12.41021,338.78,0.54,0.51,2022-06-29,0124,N,nominal,2.0NRT,297.15,3.66,N
26.75704,12.41553,309.91,0.54,0.51,2022-06-29,0124,N,nominal,2.0NRT,294.71,3.66,N
26.75361,12.40897,313.9,0.54,0.51,2022-06-29,0124,N,nominal,2.0NRT,293.01,3.66,N
26.70074,12.45112,340.83,0.54,0.51,2022-06-29,0124,N,nominal,2.0NRT,295,5.65,N
26.70214,12.45447,332.63,0.54,0.51,2022-06-29,0124,N,nominal,2.0NRT,294.49,2.83,N
26.69754,12.45321,304.5,0.54,0.51,2022-06-29,0124,N,nominal,2.0NRT,292.76,0.81,N
26.57845,12.20713,318.85,0.53,0.5,2022-06-29,0124,N,nominal,2.0NRT,296.09,3.17,N
26.57733,12.21235,319.51,0.53,0.5,2022-06-29,0124,N,nominal,2.0NRT,293.86,2.18,N
26.43199,11.84697,311.22,0.5,0.49,2022-06-29,0126,N,nominal,2.0NRT,295.06,1.66,N
26.43093,11.85197,315.8,0.5,0.49,2022-06-29,0126,N,nominal,2.0NRT,295.06,1.66,N
28.11729,0.30653,320.25,0.51,0.41,2022-06-29,0126,N,nominal,2.0NRT,301.19,5.78,N
15.1108,-4.42069,310.48,0.44,0.46,2022-06-29,0128,N,nominal,2.0NRT,292.18,1.76,N
15.02446,-11.20134,303.9,0.61,0.71,2022-06-29,0128,N,nominal,2.0NRT,286.38,2.33,N
12.56138,-7.95388,306.1,0.34,0.56,2022-06-29,0130,N,nominal,2.0NRT,283.4,1.8,N
-23.78283,-70.31913,299.35,0.59,0.7,2022-06-29,0644,N,nominal,2.0NRT,280.12,1.82,N
-23.81992,-70.31709,295.74,0.59,0.7,2022-06-29,0644,N,nominal,2.0NRT,280.45,0.71,N
-23.82651,-70.31805,302.1,0.59,0.7,2022-06-29,0644,N,nominal,2.0NRT,281.85,2.13,N
-32.8047,-70.95353,336.01,0.64,0.72,2022-06-29,0646,N,nominal,2.0NRT,275.02,5.93,N
-7.32793,-39.3112,354.62,0.44,0.62,2022-06-29,0315,N,nominal,2.0NRT,290.76,6.23,N
-7.32868,-39.3071,325.03,0.44,0.62,2022-06-29,0315,N,nominal,2.0NRT,289.49,6.23,N
-7.33375,-39.31194,311.86,0.44,0.62,2022-06-29,0315,N,nominal,2.0NRT,288.78,1.43,N
-7.33448,-39.3079,301.42,0.44,0.62,2022-06-29,0315,N,nominal,2.0NRT,288.49,1.43,N
-8.15991,-41.23141,319.87,0.57,0.69,2022-06-29,0317,N,nominal,2.0NRT,289.79,2.19,N
31.28989,72.30103,335.09,0.76,0.77,2022-06-29,0917,N,nominal,2.0NRT,295.61,6.43,D
31.2918,72.30148,331.13,0.76,0.77,2022-06-29,0917,N,nominal,2.0NRT,295.28,4.48,D
29.51006,51.26093,348.42,0.57,0.43,2022-06-29,0917,N,low,2.0NRT,322.48,14.79,D
29.94451,49.68724,343.37,0.45,0.47,2022-06-29,0917,N,nominal,2.0NRT,299.92,5.8,D
30.15177,50.4221,367,0.41,0.45,2022-06-29,0917,N,low,2.0NRT,325.85,5.05,D
30.15586,50.42113,367,0.41,0.45,2022-06-29,0917,N,high,2.0NRT,323.66,10.43,D
30.15401,50.42214,356.32,0.41,0.45,2022-06-29,0917,N,nominal,2.0NRT,327.49,11.11,D
30.25963,50.77455,347.47,0.39,0.44,2022-06-29,0917,N,low,2.0NRT,322.36,1.56,D
30.29928,50.74228,354.37,0.39,0.44,2022-06-29,0917,N,nominal,2.0NRT,326.75,6.8,D
30.32897,50.65703,352.25,0.4,0.44,2022-06-29,0917,N,nominal,2.0NRT,325.21,3.32,D
30.29551,50.09037,356.56,0.42,0.46,2022-06-29,0917,N,nominal,2.0NRT,324.98,21.12,D
30.29962,50.08916,349.14,0.42,0.46,2022-06-29,0917,N,low,2.0NRT,323.98,19.2,D
30.3496,50.28591,348.89,0.41,0.45,2022-06-29,0917,N,low,2.0NRT,323.85,20.05,D
30.35048,50.29017,352.26,0.41,0.45,2022-06-29,0917,N,low,2.0NRT,330.05,20.05,D
29.85564,47.74287,348.6,0.59,0.53,2022-06-29,0917,N,low,2.0NRT,320.76,3.65,D
30.48419,50.48595,351.84,0.4,0.44,2022-06-29,0917,N,low,2.0NRT,325.5,9.97,D
30.38904,49.86299,353.76,0.43,0.46,2022-06-29,0917,N,nominal,2.0NRT,326.81,4.86,D
30.10732,47.44306,351.03,0.6,0.53,2022-06-29,0917,N,low,2.0NRT,323.85,14.61,D
30.16843,47.41805,349.33,0.6,0.53,2022-06-29,0917,N,low,2.0NRT,324.07,14.87,D
30.16469,47.41723,367,0.6,0.53,2022-06-29,0917,N,high,2.0NRT,322.77,9.21,D
30.16952,47.41585,367,0.6,0.53,2022-06-29,0917,N,high,2.0NRT,320.36,9.21,D
30.2694,47.74069,354.13,0.58,0.52,2022-06-29,0917,N,nominal,2.0NRT,323.71,19.43,D
30.26404,47.71708,350.45,0.58,0.52,2022-06-29,0917,N,low,2.0NRT,324.85,27.1,D
30.27545,47.74518,348.79,0.58,0.52,2022-06-29,0917,N,low,2.0NRT,322.09,19.43,D
30.27411,47.73929,349.85,0.58,0.52,2022-06-29,0917,N,low,2.0NRT,323.08,19.43,D
30.21478,47.38902,347.44,0.61,0.53,2022-06-29,0917,N,low,2.0NRT,320.87,4.65,D
30.32595,47.7239,356.57,0.58,0.52,2022-06-29,0917,N,nominal,2.0NRT,324.8,30.6,D
30.79041,49.79002,353.12,0.43,0.46,2022-06-29,0917,N,low,2.0NRT,324.65,2.42,D
30.28074,47.36242,349.11,0.61,0.53,2022-06-29,0917,N,low,2.0NRT,322.28,8.48,D
30.278,47.36162,350.41,0.61,0.53,2022-06-29,0917,N,low,2.0NRT,323.12,5.78,D
